Sample	SBS1	SBS7c	SBS40	SBS9	SBS7d	SBS38	SBS13	SBS7b	SBS7a	SBS17a	SBS17b	SBS5	SBS2
ML_106_T_01	240	0	0	0	0	0	0	0	0	0	0	2575	0
ML_108_T_01	624	0	0	0	0	0	0	0	0	0	0	5862	0
ML_10_T_01	213	339	0	0	17	0	0	277	1046	0	0	2112	0
ML_12_T_01	256	0	0	0	0	0	0	0	0	0	0	2788	0
ML_14_T_01	204	959	0	0	382	0	0	2813	8376	0	0	4879	0
ML_15_T_01	242	0	0	0	0	0	0	0	0	0	0	1769	0
ML_21_T_01	1119	1162	11027	0	2925	0	0	1770	10606	0	0	2942	0
ML_23_T_01	348	3472	0	0	3408	0	0	24007	86118	0	0	4096	0
ML_28_T_01	856	0	5069	0	0	0	0	0	0	0	0	2300	0
ML_29_T_01	145	0	0	0	0	0	0	0	0	0	0	2325	0
ML_30_T_01	313	0	2155	0	0	0	0	0	0	0	0	1891	0
ML_31_T_01	201	299	0	0	539	0	0	2927	10460	0	0	4311	0
ML_34_T_01	176	0	0	0	0	0	0	0	0	0	0	1682	0
ML_36_T_01	325	1266	0	0	951	5406	0	5175	16602	0	0	8523	0
ML_37_T_01	390	2950	0	0	1278	0	0	7793	46770	0	0	2225	0
ML_38_T_01	322	833	0	0	950	0	0	5545	28793	0	0	5417	0
ML_39_T_01	278	447	0	0	558	0	0	2422	10133	0	0	4595	0
ML_41_T_01	520	413	0	0	246	0	0	939	2075	0	0	4593	0
ML_42_T_01	541	876	0	0	1081	0	0	3376	13407	0	0	6626	0
ML_43_T_01	123	0	0	0	0	0	0	0	0	0	0	1058	0
ML_44_T_01	168	833	0	0	794	0	0	11843	41566	0	0	8347	0
ML_45_T_01	86	3923	0	0	5265	0	0	30585	75031	0	0	9630	0
ML_47_T_01	188	0	0	0	0	0	0	0	0	0	0	3376	0
ML_50_T_01	246	0	0	0	0	531	0	0	0	0	0	3357	0
ML_55_T_01	508	0	0	0	0	822	0	0	0	0	0	4977	0
ML_59_T_01	426	0	0	2448	0	0	0	0	0	0	0	7792	0
ML_63_T_01	356	0	0	0	0	408	0	0	0	0	0	3624	0
ML_64_T_01	334	427	0	0	177	0	0	2723	9061	0	0	4178	0
ML_67_T_01	273	0	0	0	0	0	0	0	0	0	0	3322	0
ML_68_T_01	284	0	0	0	0	0	0	0	0	0	0	5909	0
ML_73_T_01	194	270	0	0	38	0	0	182	1887	0	0	1486	0
ML_74_T_01	92	928	0	0	470	0	0	2983	26702	0	0	3478	0
ML_75_T_01	324	0	0	0	0	0	111	0	0	0	0	3370	218
ML_76_T_01	437	6164	0	4407	2487	0	0	10	1626	0	0	2482	0
ML_77_T_01	391	0	0	0	0	0	0	0	0	0	0	4720	0
