Sample	SBS10a	SBS1	SBS29	SBS3	SBS26	SBS19	SBS15	SBS10b	SBS6	SBS30	SBS13	SBS7a	SBS44	SBS5	SBS2
TK13_LCIS1	0	620	0	0	0	0	0	0	0	0	0	0	0	2648	0
TK33_ILC	0	139	0	0	0	0	0	0	0	0	0	0	0	869	0
TK38_ILC	0	28	0	0	0	0	0	0	0	0	234	0	0	77	265
TK38_LCIS2	0	20	0	0	0	0	0	0	0	0	179	0	0	81	240
TK46_LCIS	0	17	0	0	0	0	0	0	0	0	0	0	0	25	0
TK68_ILC	0	17	0	0	0	0	0	0	0	0	0	0	0	10	0
TK68_LCIS1	0	17	0	0	0	0	0	0	0	0	0	0	0	22	0
2318491	0	10	0	0	0	0	0	0	0	0	105	0	0	56	73
2318492	0	13	0	0	0	0	0	0	0	0	91	0	0	43	86
SA214	0	115	0	0	0	0	0	0	0	0	0	0	0	80	0
TCGA-A2-A25A-01A-12D-A16D-09	0	0	218	0	0	0	0	0	0	0	31	0	0	0	43
TCGA-A7-A6VX-01A-12D-A33E-09	0	0	29	74	0	0	0	0	0	16	11	0	0	21	26
TCGA-AC-A8OR-01A-21D-A41F-09	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-B6-A0IQ-01A-11W-A050-09	0	0	15	0	0	0	0	0	0	0	0	0	0	42	0
TCGA-E2-A14Z-01A-11D-A10Y-09	0	0	14	0	0	0	0	0	0	0	0	0	0	45	22
TCGA-OL-A6VQ-01A-12D-A41F-09	0	0	27	0	0	0	0	0	0	0	18	0	0	10	29
TCGA-S3-AA10-01A-21D-A41F-09	0	0	39	61	0	0	0	0	0	0	12	0	0	41	0
TCGA-A1-A0SH-01A-11D-A099-09	0	0	0	24	0	0	0	0	0	0	35	0	0	32	44
TCGA-BH-A18V-01A-11D-A12B-09	0	0	0	147	0	0	0	0	0	0	65	0	0	0	33
TCGA-BH-A1FN-01A-11D-A13L-09	0	0	0	60	0	0	0	0	0	0	42	0	0	0	35
TCGA-C8-A132-01A-31D-A10Y-09	0	0	0	29	0	0	0	0	0	0	23	0	0	14	11
TCGA-C8-A27B-01A-11D-A167-09	0	0	0	64	0	0	0	0	0	0	66	0	0	12	14
TCGA-D8-A147-01A-11D-A10Y-09	0	0	0	121	0	0	0	0	0	0	42	0	0	11	21
TCGA-E2-A108-01A-13D-A10M-09	0	0	0	52	0	0	0	0	0	0	73	0	0	0	59
TCGA-E2-A14Y-01A-21D-A12B-09	0	0	0	19	0	0	0	0	0	0	13	0	0	0	15
TCGA-EW-A1IX-01A-12D-A142-09	0	0	0	12	0	0	0	0	0	0	16	0	0	0	14
TCGA-OL-A5RW-01A-11D-A28B-09	0	0	0	85	0	0	0	0	0	0	80	0	0	46	39
TCGA-BH-A0C1-01B-11D-A12B-09	0	0	0	0	0	0	14	0	0	10	0	0	0	13	0
TCGA-EW-A1IY-01A-11D-A188-09	0	0	0	0	0	0	0	11	0	0	0	0	0	12	12
2318503	0	0	0	0	0	0	0	18	0	0	0	0	0	17	24
TCGA-BH-A0HW-01A-11W-A050-09	0	0	0	0	0	0	0	0	23	0	0	0	0	21	0
TCGA-A2-A0CM-01A-31W-A050-09	0	0	0	0	0	0	0	0	0	14	18	0	0	13	13
TCGA-BH-A208-01A-11D-A159-09	0	0	0	0	0	0	0	0	0	14	23	0	0	23	17
TCGA-C8-A275-01A-21D-A16D-09	0	0	0	0	0	0	0	0	0	20	61	0	0	18	38
TCGA-GM-A2DI-01A-31D-A18P-09	0	0	0	0	0	0	0	0	0	13	36	0	0	0	38
TCGA-A1-A0SI-01A-11D-A142-09	0	0	0	0	0	0	0	0	0	0	141	0	0	25	102
TCGA-A2-A0CR-01A-11D-A228-09	0	0	0	0	0	0	0	0	0	0	86	0	0	25	102
TCGA-A8-A095-01A-11W-A019-09	0	0	0	0	0	0	0	0	0	0	76	0	0	39	87
TCGA-A8-A09G-01A-21W-A019-09	0	0	0	0	0	0	0	0	0	0	178	0	0	35	140
TCGA-A8-A0A7-01A-11W-A019-09	0	0	0	0	0	0	0	0	0	0	67	0	0	69	164
TCGA-AC-A2B8-01A-11D-A17D-09	0	0	0	0	0	0	0	0	0	0	44	0	0	28	51
TCGA-AC-A5XS-01A-11D-A29N-09	0	0	0	0	0	0	0	0	0	0	300	0	0	115	292
TCGA-AN-A0FV-01A-11W-A019-09	0	0	0	0	0	0	0	0	0	0	21	0	0	53	32
TCGA-AN-A0XW-01A-11D-A10G-09	0	0	0	0	0	0	0	0	0	0	244	0	0	0	180
TCGA-AO-A0JC-01A-11W-A071-09	0	0	0	0	0	0	0	0	0	0	88	0	0	17	99
TCGA-AQ-A7U7-01A-22D-A351-09	0	0	0	0	0	0	0	0	0	0	30	0	0	32	34
TCGA-AR-A2LH-01A-31D-A18P-09	0	0	0	0	0	0	0	0	0	0	17	0	0	22	28
TCGA-B6-A0WZ-01A-11D-A10G-09	0	0	0	0	0	0	0	0	0	0	23	0	0	23	48
TCGA-BH-A0B0-01A-21D-A10Y-09	0	0	0	0	0	0	0	0	0	0	25	0	0	15	53
TCGA-BH-A0B5-01A-11D-A12Q-09	0	0	0	0	0	0	0	0	0	0	38	0	0	15	29
TCGA-BH-A0DZ-01A-11W-A019-09	0	0	0	0	0	0	0	0	0	0	190	0	0	41	158
TCGA-BH-A0H5-01A-21D-A10Y-09	0	0	0	0	0	0	0	0	0	0	65	0	0	28	74
TCGA-BH-A0W7-01A-11D-A10Y-09	0	0	0	0	0	0	0	0	0	0	124	0	0	16	119
TCGA-BH-A18J-01A-11D-A12B-09	0	0	0	0	0	0	0	0	0	0	32	0	0	26	50
TCGA-BH-A209-01A-11D-A17G-09	0	0	0	0	0	0	0	0	0	0	62	0	0	23	40
TCGA-BH-A42V-01A-11D-A243-09	0	0	0	0	0	0	0	0	0	0	17	0	0	12	25
TCGA-C8-A26Y-01A-11D-A16D-09	0	0	0	0	0	0	0	0	0	0	370	0	0	199	338
TCGA-D8-A1J9-01A-11D-A13L-09	0	0	0	0	0	0	0	0	0	0	113	0	0	47	111
TCGA-D8-A27V-01A-12D-A17D-09	0	0	0	0	0	0	0	0	0	0	98	0	0	49	80
TCGA-E2-A10B-01A-11D-A10M-09	0	0	0	0	0	0	0	0	0	0	13	0	0	37	17
TCGA-E2-A1IH-01A-11D-A188-09	0	0	0	0	0	0	0	0	0	0	21	0	0	39	16
TCGA-E9-A1R4-01A-21D-A14G-09	0	0	0	0	0	0	0	0	0	0	41	0	0	61	49
TCGA-E9-A226-01A-21D-A159-09	0	0	0	0	0	0	0	0	0	0	26	0	0	25	21
TCGA-EW-A1OV-01A-11D-A142-09	0	0	0	0	0	0	0	0	0	0	35	0	0	24	72
TCGA-EW-A6SD-01A-12D-A33E-09	0	0	0	0	0	0	0	0	0	0	16	0	0	35	18
TCGA-LL-A73Y-01A-11D-A33E-09	0	0	0	0	0	0	0	0	0	0	93	0	0	57	39
TCGA-OL-A66L-01A-12D-A31U-09	0	0	0	0	0	0	0	0	0	0	22	0	0	25	40
PD4935a	0	0	0	0	0	0	0	0	0	0	19	0	0	0	16
PD4937a	0	0	0	0	0	0	0	0	0	0	36	0	0	0	32
PD4125a	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0
PD4127a	0	0	0	0	0	0	0	0	0	0	25	0	0	0	17
PD4137a	0	0	0	0	0	0	0	0	0	0	46	0	0	17	80
TCGA-AR-A2LN-01A-21D-A18P-09	0	0	0	0	0	0	0	0	0	0	0	17	0	14	10
SA218	0	0	0	0	0	0	0	0	0	0	0	0	83	30	0
TCGA-A1-A0SF-01A-11D-A142-09	0	0	0	0	0	0	0	0	0	0	0	0	0	16	36
TCGA-A8-A08H-01A-21W-A019-09	0	0	0	0	0	0	0	0	0	0	0	0	0	53	110
TCGA-AC-A6IX-01A-12D-A32I-09	0	0	0	0	0	0	0	0	0	0	0	0	0	33	23
TCGA-AO-A0JA-01A-11W-A071-09	0	0	0	0	0	0	0	0	0	0	0	0	0	12	16
TCGA-BH-A0HQ-01A-11W-A050-09	0	0	0	0	0	0	0	0	0	0	0	0	0	27	12
TCGA-C8-A1HE-01A-11D-A188-09	0	0	0	0	0	0	0	0	0	0	0	0	0	25	19
TCGA-XX-A899-01A-11D-A36J-09	0	0	0	0	0	0	0	0	0	0	0	0	0	25	18
TK42_ILC	0	0	0	0	0	0	0	0	0	0	0	0	0	64	29
TCGA-AR-A0TQ-01A-11D-A099-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
TCGA-D8-A4Z1-01A-21D-A25Q-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24
PD4123a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
