Sample	SBS1	SBS34	SBS3	SBS18	SBS31	SBS26	SBS40	SBS20	SBS28	SBS37	SBS6	SBS30	SBS13	SBS17a	SBS17b	SBS8	SBS44	SBS5	SBS2
SP110798	953	0	0	0	0	0	1966	0	0	0	0	0	126	0	0	0	0	1084	256
SP107952	981	0	0	0	0	0	2664	0	0	0	0	0	226	0	0	0	0	1433	383
SP70465	656	0	0	0	0	0	3824	0	0	0	0	0	298	0	0	0	0	756	391
SP70780	1152	0	0	814	0	0	0	0	0	0	0	0	0	0	0	0	0	3017	0
SP110803	723	0	1565	0	0	0	0	0	0	0	0	396	0	0	0	0	0	523	0
SP107915	1572	0	0	0	0	0	2099	0	0	0	0	0	0	0	0	0	0	675	0
SP71132	1124	0	0	958	0	0	0	0	0	0	0	0	0	82	218	0	0	3848	0
SP71552	1144	0	0	0	0	0	4175	0	0	0	0	447	0	160	595	0	0	1237	277
SP69573	1155	0	0	0	0	0	1679	0	0	0	0	0	27	0	0	0	0	880	158
SP75681	370	0	0	0	0	0	0	0	961	0	0	0	0	187	735	0	0	4280	0
SP107874	1294	0	0	927	0	0	5300	0	0	0	0	0	0	224	211	0	0	1233	0
SP110816	499	0	845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1328	0
SP77203	1158	0	7104	0	0	0	0	0	0	0	0	0	791	0	0	0	0	3480	427
SP76515	1670	0	0	0	0	0	4168	0	0	0	0	0	0	0	0	0	0	1125	0
SP110770	793	0	0	0	0	0	0	0	261	0	0	0	181	118	334	0	0	3728	287
SP69812	1002	0	0	0	0	0	2642	0	0	0	0	0	42	0	0	0	0	151	212
SP76136	771	0	2704	1125	0	0	0	0	0	0	0	0	215	795	1047	0	0	1425	215
SP70106	861	0	2675	0	0	0	5602	0	0	0	0	0	0	0	0	0	0	522	0
SP108059	567	0	698	0	0	0	0	0	0	0	0	0	52	0	0	0	0	1497	101
SP108020	1543	0	0	0	0	0	0	0	0	0	0	0	164	0	0	0	0	3688	140
SP76867	1079	0	0	0	0	0	2315	0	0	0	0	0	16	0	0	0	0	724	152
SP108088	1327	0	0	0	0	0	3409	0	0	0	0	0	22	22	181	0	0	875	329
SP71734	917	0	0	957	0	0	0	0	0	0	0	0	0	0	0	0	0	2665	0
SP76001	551	0	1037	356	0	0	0	0	0	0	0	0	39	0	0	0	0	1314	111
SP108033	1426	0	0	0	0	0	2024	0	0	0	0	0	0	0	0	0	0	817	0
SP110822	1062	0	0	0	0	0	6512	0	0	0	0	0	2089	0	0	0	0	1149	1163
SP69762	847	0	0	971	0	0	0	0	0	0	0	0	195	0	0	0	0	2586	92
SP107945	1074	0	0	859	0	0	0	0	0	0	0	0	0	0	0	0	0	2383	0
SP107770	613	0	0	382	0	0	1533	0	0	0	0	0	73	0	0	0	0	696	154
SP73263	1009	0	0	823	0	0	0	0	0	0	0	0	0	0	0	0	0	2802	0
SP77131	1120	0	0	1190	0	0	2555	0	0	0	0	0	53	0	0	0	0	1210	270
SP75322	2439	0	6403	0	0	0	0	0	0	0	0	0	643	114	1014	0	0	7251	565
SP70046	493	0	0	0	0	0	1078	0	0	0	0	0	20	0	0	0	0	1291	179
SP70932	874	0	0	702	0	0	0	0	0	0	0	0	0	0	0	0	0	2760	0
SP71758	325	0	0	0	0	0	749	0	0	0	0	0	0	0	0	0	0	671	161
SP71228	1622	0	0	0	0	0	5090	0	0	0	0	691	0	0	0	0	0	1886	422
SP76353	680	0	0	0	0	0	0	0	0	0	0	0	162	37	108	0	0	2129	126
SP69587	698	0	0	0	0	0	917	0	0	0	0	0	0	0	0	0	0	522	0
SP69898	2265	0	0	0	0	0	5494	0	0	0	0	0	0	0	0	0	0	848	406
SP75977	798	0	0	696	0	0	0	0	0	0	0	0	126	59	148	0	0	2647	141
SP70226	757	0	1602	646	0	0	0	0	0	0	0	0	154	0	0	0	0	2048	124
SP108068	1414	0	0	0	0	0	3106	0	0	0	0	0	139	0	0	0	0	1025	162
SP107784	850	0	0	2291	0	0	0	0	0	0	0	0	180	0	0	0	0	4076	208
SP110824	1206	0	0	768	0	0	0	0	0	0	0	0	45	0	0	0	0	2285	239
SP76843	1381	0	0	0	0	0	2780	0	0	0	0	0	0	0	0	0	0	1546	185
SP71456	1142	0	0	0	0	0	5620	0	0	0	989	0	95	152	1135	0	0	1895	466
SP108065	702	0	0	1359	0	0	0	0	0	0	0	0	130	0	0	0	0	2589	119
SP70860	1177	0	0	1610	0	0	0	0	0	0	0	731	51	0	0	0	0	2851	488
SP71084	1083	0	1511	0	0	0	0	0	0	0	0	0	116	0	0	0	0	1795	178
SP72262	739	0	0	0	0	0	2150	0	0	0	0	0	63	0	0	0	0	862	152
SP69705	1897	0	0	0	0	0	4133	0	0	0	0	0	89	128	369	0	0	649	248
SP107786	1449	0	0	0	0	0	3607	0	0	0	0	0	31	0	0	0	0	1121	216
SP71576	959	0	0	0	0	0	1250	0	0	0	0	305	0	0	0	0	0	978	183
SP108123	1019	0	0	0	0	0	3125	0	0	0	0	0	366	0	0	0	0	1016	268
SP74896	1048	0	1319	564	0	0	0	0	0	0	0	0	0	0	0	0	0	1767	0
SP71950	2037	0	0	0	0	0	2773	0	0	0	0	0	24	0	0	0	0	1164	347
SP108049	662	0	0	401	0	0	906	0	0	0	0	0	27	0	0	0	0	716	169
SP116965	2007	0	13726	0	0	0	14667	0	0	0	0	0	1302	0	0	0	0	0	770
SP77930	738	0	1192	0	0	0	0	0	0	0	0	0	51	0	0	0	0	1472	125
SP125807	1520	0	0	795	0	0	2680	0	0	0	0	0	277	0	0	0	0	2159	664
