Sample	SBS1	SBS29	SBS18	SBS40	SBS20	SBS15	SBS10b	SBS28	SBS6	SBS13	SBS4	SBS17a	SBS17b	SBS5	SBS2
TCGA-55-A491-01A-11D-A24D-08	0	0	0	0	0	0	0	0	0	19	256	0	0	157	14
TCGA-64-1677-01A-01W-0928-08	0	0	0	0	0	0	0	0	0	56	0	0	0	137	36
TCGA-64-1679-01A-21D-2063-08	0	0	0	0	0	0	0	0	0	32	430	0	0	126	25
TCGA-64-5778-01A-01D-1625-08	0	0	0	0	0	0	0	0	0	14	366	0	0	147	26
TCGA-64-5781-01A-01D-1625-08	0	0	0	0	0	0	0	0	0	66	875	0	0	344	95
TCGA-69-7765-01A-11D-2167-08	0	0	0	0	0	0	0	0	0	30	480	0	0	179	42
TCGA-69-7978-01A-11D-2184-08	0	0	0	0	0	0	0	0	0	131	0	0	0	398	74
TCGA-69-7980-01A-11D-2184-08	0	0	0	0	0	0	0	0	0	130	479	0	0	245	69
TCGA-73-4658-01A-01D-1753-08	0	0	0	0	0	0	0	0	0	67	0	0	0	206	89
TCGA-73-4662-01A-01D-1265-08	0	0	0	0	0	0	0	0	0	10	159	0	0	86	0
TCGA-73-A9RS-01A-11D-A410-08	0	0	0	0	0	0	0	0	0	41	832	0	0	210	35
TCGA-75-5126-01A-01D-1753-08	0	0	0	0	0	0	0	0	0	104	418	0	0	180	93
TCGA-75-6211-01A-11D-1753-08	0	0	0	0	0	0	0	0	0	18	277	0	0	137	0
TCGA-78-7146-01A-11D-2036-08	0	0	0	0	0	0	0	0	0	62	0	0	0	253	53
TCGA-78-7149-01A-11D-2036-08	0	0	0	0	0	0	0	0	0	49	0	0	0	103	44
TCGA-78-7150-01A-21D-2036-08	0	0	0	0	0	0	0	0	0	82	0	0	0	285	77
TCGA-78-7155-01A-11D-2036-08	0	0	0	0	0	0	0	0	0	69	1202	0	0	466	72
TCGA-78-7156-01A-11D-2036-08	0	0	0	0	0	0	0	0	0	74	0	0	0	191	89
TCGA-78-7220-01A-11D-2036-08	0	0	0	0	0	0	0	0	0	53	595	0	0	313	72
TCGA-78-8662-01A-11D-2393-08	0	0	0	0	0	0	0	0	0	54	836	0	0	457	41
TCGA-80-5607-01A-31D-1945-08	0	0	0	0	0	0	0	0	0	57	0	0	0	35	63
TCGA-83-5908-01A-21D-2284-08	0	0	0	0	0	0	0	0	0	65	0	0	0	140	34
TCGA-86-6851-01A-11D-1945-08	0	0	0	0	0	0	0	0	0	102	713	0	0	261	32
TCGA-86-7955-01A-11D-2184-08	0	0	0	0	0	0	0	0	0	14	149	0	0	172	18
TCGA-86-8056-01A-11D-2238-08	0	0	0	0	0	0	0	0	0	77	0	0	0	167	88
TCGA-86-8073-01A-11D-2238-08	0	0	0	0	0	0	0	0	0	57	1253	0	0	379	55
TCGA-86-8585-01A-11D-2393-08	0	0	0	0	0	0	0	0	0	81	353	0	0	226	40
TCGA-86-8673-01A-11D-2393-08	0	0	0	0	0	0	0	0	0	24	304	0	0	231	24
TCGA-86-8674-01A-21D-2393-08	0	0	0	0	0	0	0	0	0	13	237	0	0	72	31
TCGA-86-A456-01A-11D-A24D-08	0	0	0	0	0	0	0	0	0	13	279	0	0	120	23
TCGA-91-6828-01A-11D-1855-08	0	0	0	0	0	0	0	0	0	20	212	0	0	99	10
TCGA-91-6829-01A-21D-1855-08	0	0	0	0	0	0	0	0	0	37	389	0	0	335	20
TCGA-91-6830-01A-11D-1945-08	0	0	0	0	0	0	0	0	0	125	0	0	0	71	104
TCGA-91-6848-01A-11D-1945-08	0	0	0	0	0	0	0	0	0	68	356	0	0	277	36
TCGA-91-8499-01A-11D-2393-08	0	0	0	0	0	0	0	0	0	56	0	0	0	217	49
TCGA-95-7944-01A-11D-2184-08	0	0	0	0	0	0	0	0	0	125	0	0	0	70	108
TCGA-95-7947-01A-11D-2184-08	0	0	0	0	0	0	0	0	0	107	0	0	0	423	113
TCGA-95-A4VN-01A-11D-A25L-08	0	0	0	0	0	0	0	0	0	26	362	0	0	153	20
TCGA-97-7546-01A-11D-2036-08	0	0	0	0	0	0	0	0	0	14	213	0	0	99	0
TCGA-97-7938-01A-11D-2167-08	0	0	0	0	0	0	0	0	0	37	285	0	0	139	16
TCGA-97-8176-01A-11D-2393-08	0	0	0	0	0	0	0	0	0	27	0	0	0	107	28
TCGA-97-A4M0-01A-11D-A24P-08	0	0	0	0	0	0	0	0	0	40	271	0	0	143	34
TCGA-97-A4M3-01A-11D-A24P-08	0	0	0	0	0	0	0	0	0	16	147	0	0	49	15
TCGA-97-A4M5-01A-11D-A24P-08	0	0	0	0	0	0	0	0	0	59	0	0	0	51	74
TCGA-J2-A4AD-01A-11D-A24D-08	0	0	0	0	0	0	0	0	0	109	0	0	0	239	50
TCGA-L9-A743-01A-43D-A397-08	0	0	0	0	0	0	0	0	0	35	0	0	0	76	26
TCGA-L9-A8F4-01A-11D-A397-08	0	0	0	0	0	0	0	0	0	49	563	0	0	307	26
TCGA-MN-A4N5-01A-11D-A24P-08	0	0	0	0	0	0	0	0	0	19	325	0	0	164	27
TCGA-MP-A4SV-01A-11D-A24P-08	0	0	0	0	0	0	0	0	0	75	0	0	0	237	60
TCGA-MP-A4T4-01A-11D-A25L-08	0	0	0	0	0	0	0	0	0	16	276	0	0	140	17
TCGA-MP-A4TA-01A-21D-A24P-08	0	0	0	0	0	0	0	0	0	22	213	0	0	190	10
TCGA-MP-A4TK-01A-11D-A24P-08	0	0	0	0	0	0	0	0	0	33	254	0	0	110	33
