Sample	SBS1	SBS34	SBS3	SBS21	SBS18	SBS26	SBS40	SBS9	SBS37	SBS30	SBS13	SBS17a	SBS17b	SBS8	SBS41	SBS44	SBS5	SBS39	SBS2
PD8998a	77	0	0	0	0	0	0	0	0	0	1746	0	0	0	0	0	1888	0	1015
PD8999a	208	60	0	0	141	0	0	0	0	0	10	0	0	0	0	0	878	0	45
PD9004a	345	0	6812	0	0	0	0	0	0	0	1160	0	0	0	0	0	1449	0	525
PD9009a	496	0	0	0	0	0	0	0	0	0	7313	0	0	0	0	0	3984	0	3326
PD9063a	679	0	0	0	0	0	0	0	0	0	21337	0	0	0	0	0	1492	0	26431
PD9064a	576	0	9105	0	0	0	0	0	0	0	664	0	0	0	0	0	1439	0	422
PD9065a	254	0	0	0	793	0	0	0	0	0	31	0	0	0	0	0	888	0	236
PD9067a	215	62	0	0	169	0	0	0	0	0	106	0	0	0	0	0	834	0	159
PD9193a	201	0	509	0	300	0	0	0	0	0	127	0	0	0	0	0	472	0	67
PD9464a	376	0	1707	0	739	0	0	0	0	0	328	0	0	0	0	0	1601	0	434
PD9467a	501	0	448	0	266	0	0	0	0	0	43	0	0	0	0	0	1028	0	165
PD9539a	959	0	0	0	433	0	0	0	0	0	147	0	0	0	0	0	1907	0	114
PD9541a	654	0	825	0	0	0	0	0	0	0	44	0	0	0	0	0	926	0	237
PD9544a	219	84	0	0	167	0	0	0	0	0	20	0	0	0	0	0	816	0	73
PD9568a	1084	0	19348	0	0	0	0	0	0	0	3347	0	0	0	2174	0	2379	0	1599
PD9571a	351	0	1978	0	0	0	0	0	0	0	144	0	0	0	521	0	1551	0	97
PD9575a	339	0	2096	0	0	0	0	0	0	0	428	0	0	0	986	0	2378	0	211
PD9576a	685	0	13259	0	0	0	0	0	0	0	578	0	0	0	0	0	2795	0	265
PD9578a	129	65	0	0	129	0	0	0	0	0	0	0	0	0	0	0	755	0	0
PD9579a	208	0	534	0	0	0	0	0	0	0	53	0	0	0	0	0	761	0	66
PD9581a	210	57	0	0	137	0	0	0	0	0	0	0	0	0	0	0	1195	0	0
PD9584a	372	0	604	0	236	0	0	0	0	0	38	0	0	0	0	0	1382	0	102
PD9585a	558	0	7238	0	0	0	0	0	0	0	979	0	0	0	0	0	941	0	405
PD9591a	216	50	376	0	0	0	0	0	0	0	0	0	0	0	0	0	585	0	57
